wikidata	ror	abbreviation	name	website	Status Germany	Status Reference	Connection to NFDI Community
Q133811902	https://ror.org/024zy9450	Actris	Aerosol, Clouds and Trace Gases Research Infrastructure	https://www.actris.eu	member	https://www.actris.eu/about/who-we-are/actris-countries	.
Q140879720	https://ror.org/013cta085	Ana EE	Analysis and Experimentation on Ecosystems	https://www.anaee.eu	not member	https://www.anaee.eu/our-network/	
Q30294972	https://ror.org/00pwncn89	BBMRI	pan-European Biobanking and Biomolecular Resources Research Infrastructure	https://www.bbmri-eric.eu	member	https://www.bbmri-eric.eu/national-nodes/	Biobank
Q47519380	https://ror.org/01h2v3d55	CERIC	Central European Research Infrastructure Consortium	http://www.ceric-eric.eu	not member	https://www.ceric-eric.eu/about-us/governance/	
Q19372318	https://ror.org/02wg9xc72	CESSDA	Consortium of European Social Science data Archives	https://www.cessda.eu	member	https://www.cessda.eu/About/Consortium	GESIS, Leibniz-Inst. (Q1485220)
Q2986825	https://ror.org/03wp25384	CLARIN	pan-European Common Language Resources and Technology Infrastructure	https://www.clarin.eu	member	https://www.clarin.eu/content/national-consortia	CLARIN-D (Q15790749) -> DARIAH-DE (Q55520740)
Q1070229	https://ror.org/05fb7v315	CTAO	Cherenkov Telescope Array Observatory	https://www.ctao.org	member	https://www.ctao.org/partners/ctao-consortium/	
Q141247130		DANUBIUS	International Centre for Advanced Science on River-Sea Systems	https://danubius-ri.eu	member		Helmholtz Zentrum Geesthacht, Centre for Materials and Coastal Research, Germany (J. Friedrich) and Bundesanstalt für Gewässerkunde (P. Heininger)
Q49103279	https://ror.org/05n09v162	DARIAH	Digital Research Infrastructure for the Arts and Humanities	http://www.dariah.eu	member	https://www.dariah.eu/network/members-and-partners/	-> Göttingen, Staats- u. Uni-BIB; Text+, NFDI4Culture, NFDI4Memory, NFDI4Objects
Q81805283	https://ror.org/00hjz5209	EATRIS	European Advanced Translational Research Infrastructure in medicine	http://www.eatris.eu	not member	https://eatris.eu/countries/	
Q141247125		ECCSEL	European Carbon Dioxide Capture and Storage Laboratory Infrastructure	https://www.eccsel.org	not member	https://eccsel.eu/navroot/about/eccsel-eric-members/current-member-countries/	
Q59536568	https://ror.org/051ycea61	ECRIN	European Clinical Research Infrastructure Network	https://ecrin.org	member	https://ecrin.org/members-observers	clinical research
Q21755493	https://ror.org/00zsk2t64	EHRI	European Holocaust Research Infrastructure	https://www.ehri-project.eu	member	https://www.ehri-project.eu/membership/	
Q753269	https://ror.org/03ct7hs15	ELI	Extreme Light Infrastructure	https://eli-laser.eu	observer	https://www.eli-laser.eu/organisation/eli-eric/	
Q113551509	https://ror.org/0038zss60	EMBRC	European Marine Biology Resource Center	http://www.embrc.eu	not member	https://www.embrc.eu/our-network/	Marine biology (EuBI partner!)
Q17075202	https://ror.org/04xkqms46	EMSO	European Multidisciplinary Seafloor and Water Column Observatory	http://www.emso-eu.org	not member	https://emso.eu/organization/	Sea and climate change
Q111431904	https://ror.org/00qxqkw78	EPOS	European Plate Observing System	https://www.epos-eu.org	not member	https://www.epos-eu.org/epos-national-clusters	GfZ (Helmholtz), NFDI4Earth
Q141247133		E-RHIS	European Research Infrastructure for Heritage Science	https://www.e-rihs.eu	not member	https://www.e-rihs.eu/national-nodes/	
