wikidata	wg	external_name	external_short	external_wikidata	external_locale	external_link	external_type	source	curator	curation_date	comment	mediator(s)
Q141133890	Knowledge Graphs	Open Research Knowledge Graph	ORKG	Q108127463	DE	https://orkg.org	project	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133890	Knowledge Graphs	Wikimedia Germany		Q8288	DE	https://www.wikimedia.de	organization	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133890	Knowledge Graphs	Wikibase Stakeholder Group		Q109375836		https://wbstakeholder.group	organization	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133890	Knowledge Graphs	Research Data Alliance Open Science Graphs for FAIR Data Interest Group			International	https://www.rd-alliance.org/groups/open-science-graphs-fair-data-ig/activity/	interest group	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133885	Terminology Services	Basic Register of Thesauri, Ontologies, and Classifications	BARTOC	Q22279816	International	https://bartoc.org/	project	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133885	Terminology Services	Networked Knowledge Organization Systems/Services/Structures	NKOS	Q41070759		https://nkos.dublincore.org/	project	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133885	Terminology Services	Research Data Alliance Vocabulary Services Interest Group	VSSIG		International	https://www.rd-alliance.org/groups/vocabulary-services-interest-group/activity/	interest group	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133885	Terminology Services	Linked Open Vocabularies	LOV	Q39392701	Spain	https://lov.linkeddata.es	data resource	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q139055838	Ontology Harmonization and Mapping	EOSC Task Force Semantic Interoperability			Europe	https://www.eosc.eu/sites/default/files/tfcharters/eosca_tfsemanticinteroperability_draftcharter_20210614.pdf	task force	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q139055838	Ontology Harmonization and Mapping	RDA Data Granularity WG			International	https://www.rd-alliance.org/groups/data-granularity-wg	working group	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q139055838	Ontology Harmonization and Mapping	W3C Web Ontology WG			International	https://www.w3.org/2002/11/swv2/charters/WebOntologyCharter	working group	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q139055838	Ontology Harmonization and Mapping	The Ontology Matching Community			Europe	http://ontologymatching.org/	organization	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q139055838	Ontology Harmonization and Mapping	Simple Standard for Sharing Ontological Mappings	SSSOM	Q108394480	International	https://academic.oup.com/database/article/doi/10.1093/database/baac035/6591806	standard	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q139055838	Ontology Harmonization and Mapping	Open Biological and Biomedical Ontology Foundry	OBO	Q7072326	International	https://obofoundry.org	organization	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q139055838	Ontology Harmonization and Mapping	Data for History Consortium				http://dataforhistory.org/	consortium	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q139055838	Ontology Harmonization and Mapping	CIDOC Conceptual Reference Model Special Interest Group				https://www.cidoc-crm.org/	interest group	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q139055838	Ontology Harmonization and Mapping	International Committee on Documentation	CIDOC	Q1666445	International	https://www.wikidata.org/wiki/Q1666445	committee	manual	orcid:0000-0003-4423-4370	2026-06-05		
Q139055838	Ontology Harmonization and Mapping	LIDO Working Group		Q132576571		https://cidoc.mini.icom.museum/working-groups/lido/	working group	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q139055838	Ontology Harmonization and Mapping	Project Anwendung Interoperabler Metadatenstandards	AIMS			https://gepris.dfg.de/gepris/projekt/432233186	funding_call	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q139055838	Ontology Harmonization and Mapping	The FAIR Digital Objects Forum				https://fairdo.org/	organization	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q139055838	Ontology Harmonization and Mapping	ENERO Foundry				https://enerofoundry.github.io/ENEROFoundry/	organization	manual	orcid:0000-0003-4423-4370	2026-06-05		Mirjam Stappe, Amanda Wein
Q141133894	Research Software Metadata	Schema.org	SDO	Q3475322		https://schema.org	standard	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133894	Research Software Metadata	CodeMeta				https://codemeta.github.io	standard	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133894	Research Software Metadata	WG RSE in Common Infrastructure					working group	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133894	Research Software Metadata	nfdi.software			NFDI	https://base4nfdi.de/projects/nfdi-software	data resource	charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133894	Research Software Metadata	DMP4NFDI			NFDI		nfdi section	charter	orcid:0000-0003-4423-4370	2026-06-05
Q141133894	Research Software Metadata	Metadata schema for Software Management Plans				https://doi.org/10.5281/zenodo.8089518		charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133894	Research Software Metadata	ELIXIR Software Best Practices Group			Europe	https://elixir-europe.org/internal-projects/commissioned-services/software-best-practices		charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133894	Research Software Metadata	DataDesc				https://arxiv.org/abs/2306.10620		charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133894	Research Software Metadata	FAIRCORE4EOSC			Europe	https://faircore4eosc.eu	project	charter	orcid:0000-0003-4423-4370	2026-06-05		
